week,position,n,mae,rmse,pearson_r,bias,median_error,mean_predicted,mean_actual
10,QB,34,6.67,7.52,0.596,0.64,2.98,13.82,13.17
10,RB,87,4.16,6.12,0.72,-0.02,1.45,7.06,7.08
10,WR,133,4.51,5.86,0.626,0.9,1.93,7.09,6.2
10,TE,84,3.11,4.45,0.648,0.36,0.94,4.59,4.23
11,QB,38,6.91,9.13,0.434,2.44,3.77,14.44,12.0
11,RB,91,4.59,6.77,0.653,-0.6,0.79,7.29,7.89
11,WR,143,4.81,6.49,0.509,1.07,2.1,7.08,6.01
11,TE,91,3.03,4.23,0.683,0.54,0.9,4.57,4.03
12,QB,32,6.68,8.57,0.351,0.5,0.84,14.75,14.25
12,RB,85,4.32,6.82,0.692,0.28,1.56,7.52,7.23
12,WR,134,4.87,6.4,0.627,0.57,1.99,7.01,6.44
12,TE,92,2.86,3.96,0.618,0.61,0.81,4.41,3.8
13,QB,38,5.16,6.62,0.654,1.15,0.65,14.19,13.04
13,RB,101,3.98,5.56,0.67,0.02,0.71,7.33,7.31
13,WR,152,4.84,6.48,0.539,1.13,1.93,7.23,6.1
13,TE,101,2.4,3.32,0.803,0.38,0.93,4.4,4.02
14,QB,36,7.23,9.39,0.395,0.42,0.17,13.57,13.16
14,RB,88,3.84,5.69,0.691,-0.1,0.36,7.28,7.38
14,WR,139,4.73,6.45,0.576,0.71,1.5,6.81,6.11
14,TE,91,2.87,4.3,0.622,0.54,0.81,4.48,3.94
15,QB,38,7.24,9.39,0.496,-0.67,-1.89,14.81,15.49
15,RB,100,4.68,6.33,0.632,0.12,1.38,7.26,7.14
15,WR,157,4.42,6.01,0.644,0.62,1.81,6.83,6.2
15,TE,104,3.55,6.24,0.69,-0.59,0.79,4.24,4.83
16,QB,43,6.54,8.44,0.621,0.86,0.05,13.71,12.85
16,RB,99,4.5,6.58,0.74,-1.05,0.59,7.13,8.18
16,WR,161,4.42,6.47,0.596,0.22,1.55,6.67,6.45
16,TE,105,3.16,4.47,0.618,0.32,1.0,4.43,4.11
